,0,1,2
578,14,22,40
579,20,28,44
580,16,24,38
581,15,23,37
582,12,20,34
583,15,23,37
584,29,37,51
585,32,40,54
586,31,39,53
587,39,46,60
588,22,30,44
589,13,20,39
590,16,22,43
591,17,23,43
592,23,29,49
593,33,38,58
594,23,28,48
595,42,47,67
596,26,32,52
597,65,71,91
598,109,116,137
599,48,55,76
600,48,53,73
601,119,127,149
602,125,135,156
603,93,103,124
604,74,86,106
605,68,80,100
606,77,89,109
607,137,152,171
608,162,179,197
609,106,121,139
610,42,54,71
611,36,49,67
612,131,147,165
613,193,213,230
614,175,197,214
615,170,195,211
616,184,208,225
617,182,204,221
618,182,204,221
619,181,203,220
620,178,200,217
621,178,200,217
622,179,201,218
623,179,201,218
624,180,202,219
625,180,202,219
626,180,202,219
627,180,202,219
628,181,203,220
629,182,204,221
630,181,203,220
631,181,203,220
632,182,204,221
633,182,204,221
634,181,203,220
635,180,202,219
636,181,203,220
637,181,203,220
638,181,203,220
639,181,203,220
640,181,203,220
641,180,202,219
642,179,201,218
643,178,200,217
644,180,202,219
645,181,203,220
646,181,203,220
647,181,203,220
648,180,202,219
649,179,201,218
650,179,201,218
651,180,202,219
652,182,204,221
653,182,204,221
654,180,202,219
655,182,204,221
656,182,204,221
657,182,204,221
658,181,203,220
659,180,202,219
660,178,200,217
661,177,199,216
662,178,200,217
663,178,200,217
664,179,201,218
665,179,201,218
666,179,201,218
667,179,201,218
668,180,202,219
669,178,200,217
670,177,199,216
671,176,198,215
672,176,198,215
673,178,201,218
674,180,203,220
675,179,202,219
676,177,200,217
677,177,200,217
678,177,200,217
679,178,201,218
680,175,198,215
681,174,199,215
682,174,201,216
683,176,200,216
684,178,201,218
685,180,203,220
686,179,202,219
687,180,202,219
688,179,201,218
689,179,201,218
690,180,202,219
691,179,201,218
692,180,202,219
693,180,202,219
694,180,202,219
695,180,202,219
696,180,202,219
697,180,202,219
698,180,202,219
699,179,201,218
700,177,199,216
701,177,199,216
702,177,199,216
703,176,198,215
704,177,199,216
705,177,199,216
706,176,198,215
707,174,196,213
708,176,198,215
709,180,202,219
710,179,201,218
711,178,200,217
712,178,200,217
713,177,199,216
714,177,199,216
715,178,200,217
716,177,199,216
717,176,198,215
718,176,198,215
719,177,199,216
720,179,201,218
721,179,201,218
722,177,200,217
723,175,198,215
724,177,200,217
725,177,202,218
726,177,203,219
727,178,203,219
728,178,201,218
729,177,200,217
730,176,199,216
731,176,199,216
732,176,199,216
733,177,200,217
734,177,200,217
735,177,200,217
736,177,200,217
737,176,199,216
738,176,199,216
739,176,199,216
740,177,200,217
741,176,199,216
742,175,198,215
743,176,199,216
744,176,200,217
745,177,200,217
746,180,202,219
747,178,200,217
748,176,198,215
749,175,198,215
750,175,198,215
751,176,198,215
752,175,199,216
753,173,199,214
754,180,202,219
755,181,203,220
756,180,202,219
757,181,203,220
758,181,203,220
759,181,203,220
760,180,202,219
761,181,203,220
762,181,203,220
763,180,202,219
764,180,202,219
765,181,203,220
766,181,203,220
767,182,204,221
768,182,204,221
769,182,204,221
770,182,204,221
771,182,204,221
772,182,204,221
773,181,203,220
774,180,202,219
775,180,202,219
776,180,202,219
777,179,201,218
778,179,201,218
779,179,201,218
780,178,200,217
781,178,200,217
782,179,201,218
783,181,203,220
784,181,203,220
785,182,204,221
786,182,204,221
787,182,204,221
788,182,204,221
789,182,204,221
790,182,204,221
791,182,204,221
792,182,204,221
793,182,204,221
794,182,204,221
795,182,204,221
796,182,204,221
797,182,204,221
798,181,203,220
799,181,203,220
800,180,202,219
801,180,202,219
802,179,201,218
803,177,199,216
804,179,201,218
805,181,203,220
806,182,204,221
807,181,203,220
808,179,201,218
809,180,202,219
810,181,203,220
811,180,202,219
812,181,203,220
813,181,203,220
814,181,203,220
815,180,202,219
816,181,203,220
817,182,204,221
